OBJECTID,NAME,TERM_ID,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,PIPE_IN,PIPE_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS,RENEWABLE_DIESEL
497,CHEVRON PRODUCTS COMPANY - DORAVILLE TERMINAL,ANLTK13030,4026 WINTERS CHAPEL ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 457-5251,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.911005,-84.271984,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.chevron.com,T-58-GA-2528,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",230814,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
498,CITGO PETROLEUM CORPORATION - DORAVILLE TERMINAL,ANLTK13031,3877 FLOWERS ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 457-5268,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.909437,-84.274045,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.globalp.com,T-58-GA-2529,NOT AVAILABLE,CITGO PETROLEUM CORPORATION,WITHIN 40 FEET,REFINED,194285,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
499,"MAGELLAN TERMINAL HOLDINGS, L.P. - DORAVILLE II TERMINAL",ANLTK13032,2797 WOODWIN ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 457-6272,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.915761,-84.272971,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-58-GA-2535,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",390000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO
500,"MAGELLAN TERMINAL HOLDINGS, L.P. -DORAVILLE I TERMINAL",ANLTK13033,4149 WINTERS CHAPEL ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 457-3026,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.916341,-84.269056,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-58-GA-2533,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",305000,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
501,MPLX DORAVILLE TERMINAL,ANLTK13034,6293 NEW PEACHTREE ROAD,DORAVILLE,GA,30340,NOT AVAILABLE,(770) 457-7233,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.90881,-84.270962,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,airpermit.dnr.state.ga.us,T-58-GA-2532,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",188002,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
502,MOTIVA ENTERPRISES LLC (DORAVILLE EAST),ANLTK13035,4143 WINTERS CHAPEL ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 216-1252,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.917134,-84.263808,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,T-58-GA-2531,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",300000,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
503,MOTIVA ENTERPRISES LLC (SOUTH),ANLTK13036,4127 WINTERS CHAPEL ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 216-1252,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.914414,-84.268646,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,T-58-GA-2510,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,324800,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
504,MOTIVA ENTERPRISES LLC (WEST),ANLTK13037,4201 WINTERS CHAPEL ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 216-1252,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.91713,-84.26768,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.motivaenterprises.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",200000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
505,PLANTATION PIPE LINE COMPANY - DORAVILLE TANK FARM,ANLTK13038,2901 WOODWIN ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,NOT AVAILABLE,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.914696,-84.272942,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.plantation-ppl.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,450000,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
506,TRANSMONTAIGNE - DORAVILLE,ANLTK13039,2836 WOODWIN ROAD,DORAVILLE,GA,30360,NOT AVAILABLE,(770) 458-5588,BULK TERMINAL,IN SERVICE,DE KALB,13089,33.917273,-84.272465,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.transmontaigne.com,T-58-GA-2525,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, BIOFUEL, CHEMICALS",438000,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO
507,TRANSMONTAIGNE - GRIFFIN,ANLTK13040,643B EAST MCINTOSH ROAD,GRIFFIN,GA,30223,NOT AVAILABLE,(770) 227-2033,BULK TERMINAL,IN SERVICE,SPALDING,13255,33.281132,-84.263193,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,transmontaignepartners.com,T-58-GA-2537,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,102000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
508,SOUTH FLORIDA MATERIALS CORPORATION DBA VECENERGY,ANLTK13042,2476 ALLEN ROAD,MACON,GA,31216,NOT AVAILABLE,(912) 788-5511,BULK TERMINAL,IN SERVICE,BIBB,13021,32.739585,-83.660704,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.vecenergy.com/,T-58-GA-2538,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",161000,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
509,"MAGELLAN TERMINAL HOLDINGS, L.P.",ANLTK13043,2505 ALLEN ROAD,MACON,GA,31216,NOT AVAILABLE,(478) 788-2324,BULK TERMINAL,IN SERVICE,BIBB,13021,32.742787,-83.661055,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-58-GA-2543,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,130509,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
510,MPLX MACON,ANLTK13044,2445 ALLEN ROAD,MACON,GA,31216,NOT AVAILABLE,(478) 788-2361,BULK TERMINAL,IN SERVICE,BIBB,13021,32.742611,-83.660015,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.marathonpetroleum.com/,T-58-GA-2541,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,238000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
511,EPIC MIDSTREAM LLC - MACON TERMINAL,ANLTK13045,6225 HAWKINSVILLE ROAD,MACON,GA,31216,NOT AVAILABLE,(478) 788-1877,BULK TERMINAL,IN SERVICE,BIBB,13021,32.736543,-83.658299,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.epic-midstream.com/,T-58-GA-2542,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,308247,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
512,TRANSMONTAIGNE - MACON,ANLTK13046,5041 FORSYTH ROAD,MACON,GA,31210,NOT AVAILABLE,(478) 477-1711,BULK TERMINAL,IN SERVICE,BIBB,13021,32.883264,-83.727622,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.transmontaigne.com,T-58-GA-2544,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,174000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
513,MPLX POWDER SPRINGS TERMINAL,ANLTK13047,3895 ANDERSON FARM ROAD NW,POWDER SPRINGS,GA,30064,NOT AVAILABLE,(770) 948-8550,BULK TERMINAL,IN SERVICE,COBB,13067,33.862408,-84.631237,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://data.rtknet.org/,T-58-GA-2545,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,202000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
514,TRANSMONTAIGNE - ROME,ANLTK13048,2671 CALHOUN ROAD,ROME,GA,30161,NOT AVAILABLE,(706) 295-2521,BULK TERMINAL,IN SERVICE,FLOYD,13115,34.298353,-85.112416,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.transmontaigne.com,T-58-GA-2547,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,152000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO
515,"COLONIAL TERMINALS, INCORPORATED - PLANTS 1 AND 2",ANLTK13049,101 NORTH LATHROP AVE.,SAVANNAH,GA,31415,NOT AVAILABLE,(912) 236-1331,MARINE TERMINAL,IN SERVICE,CHATHAM,13051,32.09936151,-81.11743671,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.colpipe.com/,T-58-GA-2550,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",2650000,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
516,EPIC - SAVANNA EAST TERMINAL,ANLTK13050,1 WOODCOCK ROAD,SAVANNAH,GA,31404,NOT AVAILABLE,(912) 236-1579,BULK TERMINAL,IN SERVICE,CHATHAM,13051,32.077997,-81.043486,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,774700,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
517,IMTT - SAVANNA NORTH,ANLTK13051,7 FOUNDATION DRIVE,SAVANNAH,GA,31408,NOT AVAILABLE,(912) 966-6600,ASPHALT REFINERY AND TERMINAL,IN SERVICE,CHATHAM,13051,32.108067,-81.126933,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,EIA,www.imtt.com,T-58-GA-2557,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, REFINED, ASPHALT, CHEMICALS",1129554,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO
518,EPIC MIDSTREAM LLC,ANLTK13052,2 WAHLSTROM RD.,SAVANNAH,GA,31404,NOT AVAILABLE,(912) 236-1579,MARINE TERMINAL,IN SERVICE,CHATHAM,13051,32.071715,-81.051832,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.epic-midstream.com/,T-58-GA-2507,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",862197,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
519,"VOPAK TERMINAL SAVANNAH, INCORPORATED",ANLTK13053,280 BRAMPTON ROAD TURNER AND HART STREETS,SAVANNAH,GA,31408,NOT AVAILABLE,(912) 964-1811,MARINE TERMINAL,IN SERVICE,CHATHAM,13051,32.116707,-81.135982,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.vopak.com/,T-58-GA-2551,VOPAK TERMINALS NORTH AMER INC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT, BIOFUEL, CHEMICALS",251709,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
520,PLANTATION PIPE LINE COMPANY,ANLTK13055,3530 NORTH COUNTY LINE RD,LITHIA SPRINGS,GA,30122,NOT AVAILABLE,(770) 942-3284,BREAKOUT TANKS,IN SERVICE,DOUGLAS,13097,33.75990874,-84.67222212,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,"KINDER MORGAN, INC.",WITHIN 40 FEET,REFINED,298994,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
521,ALBANY,ANLTK13056,"1716 LIBERTY EXPRESSWAY, SE",ALBANY,GA,31705,NOT AVAILABLE,(229) 435-2754,LPG TERMINAL,IN SERVICE,DOUGHERTY,13095,31.49543651,-84.11469682,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.rtknet.org,NONE,ENTERPRISE PROPANE TRMNLS & STORAGE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,5489,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
522,DIXIE PIPELINE - ALMA,ANLTK13057,151 OLD DIXIE SCHOOL ROAD,ALMA,GA,31510,NOT AVAILABLE,(912) 632-6298,LPG TERMINAL,IN SERVICE,BACON,13005,31.54919459,-82.5356622,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,ENTERPRISE PROPANE TRMNLS & STORAGE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,6859,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
523,OWENS CORNING TRUMBELL ASPHALT,ANLTK13058,"4775 FREDERICK DRIVE, SW",ATLANTA,GA,30336,NOT AVAILABLE,(404) 836-3525,ASPHALT PROCESSING,IN SERVICE,FULTON,13121,33.7637641,-84.54480196,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,owenscorning.com,NONE,OWENS CORNING,OWENS CORNING TRUMBULL ASPHALT,WITHIN 40 FEET,ASPHALT,-999,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
524,BLUEKNIGHT ENERGY PARTNERS - BAINBRIDGE TERMINAL,ANLTK13059,1601 SPRING CREEK RD,BAINBRIDGE,GA,39817,NOT AVAILABLE,(229) 248-0804,ASPHALT TERMINAL,IN SERVICE,DECATUR,13087,30.8945977,-84.61080875,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,EIA,bkep.com,NONE,ERGON ASPHALT & EMULSIONS INC,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,0,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
525,ECO ENERGY - CARTERSVILLE,ANLTK13060,25 RIVERSIDE DRIVE SW,CARTERSVILLE,GA,30120,NOT AVAILABLE,(678) 605-8570,UNKNOWN,IN SERVICE,BARTOW,13015,34.1380082,-84.84899507,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,ECO-ENERGY DISTRIBUTION SERVICES LLC,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,0,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
526,ERGON ASPHALT - GARDEN CITY,ANLTK13061,14 FOUNDATION DRIVE,SAVANNAH,GA,31408,NOT AVAILABLE,(912) 964-6758,ASPHALT TERMINAL,IN SERVICE,CHATHAM,13051,32.10569325,-81.13445156,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,EIA,ergonasphalt.com,NONE,ERGON ASPHALT & EMULSIONS INC,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,0,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
527,ER SNELL - LITHONIA LIQUID TERMINAL,ANLTK13062,6854 MARBUT RD.,LITHONIA,GA,30058,NOT AVAILABLE,(770) 482-5593,ASPHALT TERMINAL,IN SERVICE,DE KALB,13089,33.72573176,-84.10963236,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,EIA,ersnell.com,NONE,E R SNELL CONTRACTOR INC,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,-999,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
528,DIXIE TERMINALS AND STORAGE - MILNER TERMINAL,ANLTK13063,1345 OLD 41 HIGHWAY,MILNER,GA,30257,NOT AVAILABLE,(770) 412-6393,LPG TERMINAL,IN SERVICE,LAMAR,13171,33.15200193,-84.20705439,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,ENTERPRISE PROPANE TRMNLS & STORAGE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,4855,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
529,SOUTHEAST EMULSIONS INC. - PERRY TERMINAL,ANLTK13064,115 INDUSTRIAL PARK DRIVE,PERRY,GA,31069,NOT AVAILABLE,(229) 364-2906,ASPHALT TERMINAL,IN SERVICE,HOUSTON,13153,32.45878688,-83.76911459,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,EIA,southeastemulsions.com,NONE,SOUTHEAST EMULSIONS INC,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,-999,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
530,CWM ROCKMART TERMINAL,ANLTK13065,901 MARQUETTE ROAD,ROCKMART,GA,30153,NOT AVAILABLE,(678) 685-0420,ASPHALT TERMINAL,IN SERVICE,POLK,13233,34.02203206,-85.04202074,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,cwmatthews.com,NONE,CW MATTHEWS CONTRACTING CO INC,NOT AVAILABLE,WITHIN 40 FEET,ASPHALT,391000,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
531,CONOCOPHILLIPS COMPANY SAVANNAH LUBRICANTS PLANT,ANLTK13066,110 FORBES RD,SAVANNAH,GA,31404,NOT AVAILABLE,(912) 233-9266,BULK TERMINAL,IN SERVICE,CHATHAM,13051,32.0748676,-81.04722139,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,phillips66.com,NONE,PHILLIPS 66,NOT AVAILABLE,WITHIN 40 FEET,CHEMICALS,-999,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
532,ECO-ENERGY DISTRIBUTION-AUGUSTA,ANLTK13067,1661 DIXON AIRLINE ROAD,AUGUSTA,GA,30906,NOT AVAILABLE,(706) 793-1963,ETHANOL TERMINAL,IN SERVICE,RICHMOND,13245,33.383401,-81.985592,424690,OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,EIA,http://www.eco-energy.com/,NONE,ECO ENERGY,ECO-ENERGY DISTRIBUTION SERVICES LLC,WITHIN 40 FEET,BIOFUEL,88095,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
533,"ALOHA PETROLEUM, LTD. - HILO EAST TERMINAL",ANLTK15001,999 KALANIANAOLE STREET,HILO,HI,96720,NOT AVAILABLE,(808) 935-0929,BULK TERMINAL,IN SERVICE,HAWAII,15001,19.730461,-155.049958,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.alohagas.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,65000,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
534,"ALOHA PETROLEUM, LTD. - HILO WEST TERMINAL",ANLTK15002,661 KALANIANAOLE AVENUE,HILO,HI,96720,NOT AVAILABLE,(808) 935-8288,BULK TERMINAL,IN SERVICE,HAWAII,15001,19.72764,-155.055247,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.alohagas.com,T-99-HI-4558,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,60000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
535,IES DOWNSTREAM LLC - HILO TERMINAL,ANLTK15003,666 KALANIANAOLE AVENUE,HILO,HI,96720,NOT AVAILABLE,(808) 916-2563,MARINE TERMINAL,IN SERVICE,HAWAII,15001,19.72603,-155.05484,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.islandenergyservices.com/,T-99-HI-4552,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",79360,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
536,HAWAII INDEPENDENT ENERGY LLC NO. 1,ANLTK15004,701 KALANIANAOLE STREET,HILO,HI,96720,NOT AVAILABLE,(808) 961-3177,BULK TERMINAL,IN SERVICE,HAWAII,15001,19.727898,-155.054834,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-99-HI-4561,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,CHEMICALS,50000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
537,HAWAII INDEPENDENT ENERGY LLC NO. 2 AND 3,ANLTK15005,595 - 607 KALANIANAOLE STREET,HILO,HI,96720,NOT AVAILABLE,(808) 961-3177,BULK TERMINAL,IN SERVICE,HAWAII,15001,19.727325,-155.055907,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-99-HI-4559,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",146000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
538,AIRCRAFT SERVICE INTERNATIONAL GROUP - HONOLULU INTERNATIONAL AIRPORT,ANLTK15006,3201 AOLELE STREET,HONOLULU,HI,96819,NOT AVAILABLE,(808) 833-3291,AIRPORT TERMINAL,IN SERVICE,HONOLULU,15003,21.332492,-157.91265,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.asig.com,T-91-HI-4570,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,625000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
539,ALOHA PETROLEUM - HONOLULU TERMINAL,ANLTK15007,789 NORTH NIMITZ HIGHWAY,HONOLULU,HI,96817,NOT AVAILABLE,(808) 537-3911,MARINE TERMINAL,IN SERVICE,HONOLULU,15003,21.31274,-157.874038,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-99-HI-4557,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,274000,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
540,IES DOWNSTREAM LLC - HONOLULU MARINE TERMINAL,ANLTK15008,777 NORTH NIMITZ HIGHWAY,HONOLULU,HI,96817,NOT AVAILABLE,(808) 527-2747,MARINE TERMINAL,IN SERVICE,HONOLULU,15003,21.312349,-157.873246,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.islandenergyservices.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",316350,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
541,HAWAII INDEPENDENT ENERGY LLC,ANLTK15009,2 SAND ISLAND ACCESS ROAD (HONOLULU - SAND ISLAND),HONOLULU,HI,96819,NOT AVAILABLE,(808) 547-3192,MARINE TERMINAL,IN SERVICE,HONOLULU,15003,21.315749,-157.889139,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,T-99-HI-4568,PAR PETROLEUM CORPORATION,NOT AVAILABLE,WITHIN 40 FEET,REFINED,950000,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
542,IES DOWNSTREAM LLC -KAHULUI TERMINAL,ANLTK15010,100 HOBRON AVENUE A,KAHULUI,HI,96732,NOT AVAILABLE,(808) 961-3634,MARINE TERMINAL,IN SERVICE,MAUI,15009,20.894105,-156.461314,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,https://www.islandenergyservices.com/,T-99-HI-4554,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",54800,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
